Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
3.233.158.15-192.168.1.2-443-59018-6,3.233.158.15,443,192.168.1.2,59018,6,14/07/2025 21:20:05,0,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,1,0,0,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,1,11,0,0,75,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-13.107.42.16-59027-443-6,192.168.1.2,59027,13.107.42.16,443,6,14/07/2025 21:20:12,442983,12,16,2677.0,7056.0,1440.0,0.0,223.08333333333331,423.23525766804124,1452.0,0.0,441.0,624.7240457460665,21971.497777567085,63.20784319037073,16406.77777777778,30373.29893854562,93657.0,0.0,442983.0,40271.18181818182,45733.25489142049,113637.0,0.0,367430.0,24495.333333333332,44152.35640802145,137901.0,0.0,0,0,0,0,252,332,27.089075653016028,36.11876753735471,0.0,1452.0,335.62068965517244,543.3659917451787,295246.6009852216,1,2,0,10,27,0,0,0,1.0,347.60714285714283,223.08333333333334,441.0,0,0,0,0,15,26562,0,95,0,252,65535,16382,6,20,0,0,0,0,1.7525460127266672E15,87319.60148077796,1.752546012940818E15,1.752546012547269E15,No Label
13.107.42.16-192.168.1.2-443-59027-6,13.107.42.16,443,192.168.1.2,59027,6,14/07/2025 21:20:13,0,3,0,42.0,0.0,42.0,0.0,14.0,24.24871130596428,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,0,0.0,0.0,0.0,42.0,10.5,21.0,441.0,1,0,0,1,3,0,0,0,0.0,14.0,14.0,0.0,0,0,0,0,0,0,1,14,0,0,16382,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-142.251.0.95-59026-443-6,192.168.1.2,59026,142.251.0.95,443,6,14/07/2025 21:20:11,4000751,9,12,1810.0,11904.0,1412.0,0.0,201.11111111111111,466.3937297081846,1412.0,0.0,992.0000000000001,617.1199971716123,3427.856419957153,5.249014497528089,200037.55,763104.2557470854,3429040.0,0.0,4000751.0,500093.875,1187376.9778811298,3429040.0,0.0,459444.0,41767.63636363636,90071.52580507641,303233.0,0.0,0,0,0,0,204,252,2.249577641797752,2.9994368557303366,0.0,1412.0,623.3636363636364,674.4790967465575,454922.051948052,1,2,0,7,20,0,0,0,1.0,653.047619047619,201.11111111111111,992.0,0,0,0,0,12,29888,0,86,0,566,65535,1047,3,20,0,0,0,0,1.7525460115583108E15,177489.45222536934,1.752546011882149E15,1.752546011356413E15,No Label
192.168.1.2-20.42.65.84-59028-443-6,192.168.1.2,59028,20.42.65.84,443,6,14/07/2025 21:20:23,608278,12,11,10531.0,5157.0,1440.0,0.0,877.5833333333333,642.1552429596803,1452.0,0.0,468.8181818181818,645.0695804611806,25790.839057141635,37.811658485100565,27649.0,59257.672446777084,166903.0,0.0,441232.0,40112.0,67483.34626113319,152226.0,0.0,468127.0,46812.7,75624.41469679837,172416.0,0.0,0,0,0,0,252,232,19.727821818313338,18.083836666787224,0.0,1452.0,653.6666666666666,662.733054441436,439215.1014492754,1,2,0,7,22,0,0,0,0.0,682.0869565217391,877.5833333333334,468.8181818181818,0,0,0,0,16,33564,0,457,0,224,65535,16386,9,20,0,0,0,0,1.7525460243924962E15,156417.4269422953,1.752546024602889E15,1.752546023994758E15,No Label
192.168.1.2-20.42.65.84-59028-443-6,192.168.1.2,59028,20.42.65.84,443,6,14/07/2025 21:20:24,2467,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,9728.415079043372,1216.0518848804215,1233.5,1423.4059505285202,2240.0,227.0,2467.0,1233.5,1423.4059505285202,2240.0,227.0,0,0,0,0,0,0,0,0,0,60,0,1216.0518848804215,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
140.82.113.22-192.168.1.2-443-58731-6,140.82.113.22,443,192.168.1.2,58731,6,14/07/2025 21:20:18,3298533,159,62,219678.0,70.0,1436.0,0.0,1381.6226415094343,254.15854414138204,35.0,0.0,1.1290322580645165,6.234446538249134,66619.91861230432,66.99948128455893,14993.331818181816,30912.89451685076,113520.0,0.0,3251131.0,20576.77848101266,35997.216817330875,139398.0,0.0,3297103.0,54050.868852459,41049.3612566933,114061.0,18.0,1,0,0,0,3180,1520,48.203246716040134,18.796234568518795,0.0,1436.0,990.9459459459458,658.330437843132,433398.96539072995,0,0,0,67,221,0,0,0,0.0,995.4298642533937,1381.622641509434,1.1290322580645162,0,0,0,0,160,67591,0,994,0,0,1497,255,157,20,0,0,0,0,1.7525460203134975E15,895739.1272957728,1.752546021921796E15,1.752546018670795E15,No Label
142.251.0.95-192.168.1.2-443-59026-6,142.251.0.95,443,192.168.1.2,59026,6,14/07/2025 21:20:15,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1047,255,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-108.177.123.106-58330-443-17,192.168.1.2,58330,108.177.123.106,443,17,14/07/2025 21:20:23,179090,7,11,4026.0,9649.0,1250.0,31.0,575.1428571428571,632.9313887437901,1250.0,24.0,877.1818181818182,534.533407409082,76358.25562566308,100.50812440672287,10534.70588235294,18015.668488723593,55923.0,0.0,155937.0,25989.5,24986.249392415823,57684.0,187.0,122980.0,12298.0,20744.440042253893,50055.0,0.0,0,0,0,0,56,88,39.086492824836675,61.4216315818862,24.0,1250.0,785.5263157894739,571.4914569616216,326602.48538011697,0,0,0,0,0,0,0,0,1.0,829.1666666666666,575.1428571428571,877.1818181818181,0,0,0,0,18,76358,0,223,0,536,0,0,6,8,0,0,0,0,1.7525460238079995E15,46041.9158360442,1.75254602390494E15,1.752546023728426E15,No Label
192.168.1.2-108.177.123.139-55171-443-17,192.168.1.2,55171,108.177.123.139,443,17,14/07/2025 21:20:07,16066021,14,11,6860.0,3783.0,1250.0,33.0,490.00000000000006,559.9420299665644,1250.0,24.0,343.9090909090909,436.37838043272825,662.4540077471578,1.5560791312298174,669417.5416666665,2022920.844062818,8253552.0,0.0,1.6066021E7,1235847.769230769,2661878.2670475105,8253552.0,23.0,1.5980784E7,1598078.4000000001,3011567.8658016953,8317557.0,0.0,0,0,0,0,112,88,0.8714043134886977,0.6846748177411196,24.0,1250.0,441.1923076923078,500.6912037758018,250691.68153846147,0,0,0,0,0,0,0,0,0.0,458.84,490.0,343.90909090909093,0,0,0,0,6,25830,0,274,0,151,0,0,13,8,0,0,0,0,1.7525460172789962E15,6100042.03880659,1.752546023637883E15,1.752546007584016E15,No Label
