Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-20.42.73.25-59238-443-6,192.168.1.2,59238,20.42.73.25,443,6,14/07/2025 21:28:49,553550,11,11,8325.0,5157.0,1440.0,0.0,756.8181818181818,674.9064851046875,1452.0,0.0,468.8181818181818,645.0695804611806,24355.523439617016,39.74347394092675,26359.52380952381,54670.97816906063,159350.0,0.0,423885.0,42388.5,67600.11132181827,159414.0,0.0,426073.0,42607.3,68205.54646401973,161146.0,0.0,0,0,0,0,232,232,19.871736970463374,19.871736970463374,0.0,1452.0,586.1739130434783,658.2188536410496,433252.0592885375,1,2,0,7,21,0,0,0,1.0,612.8181818181819,756.8181818181819,468.8181818181818,0,0,0,0,15,31696,0,378,0,234,65535,16386,8,20,0,0,0,0,1.7525465302068372E15,150104.46609970598,1.75254653038818E15,1.752546529834867E15,No Label
192.168.1.2-20.42.73.25-59238-443-6,192.168.1.2,59238,20.42.73.25,443,6,14/07/2025 21:28:50,936,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,25641.02564102564,3205.128205128205,468.0,404.4650788387052,754.0,182.0,936.0,468.0,404.4650788387052,754.0,182.0,0,0,0,0,0,0,0,0,0,60,0,3205.128205128205,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-3.233.158.19-59239-443-6,192.168.1.2,59239,3.233.158.19,443,6,14/07/2025 21:28:49,1221862,9,8,2620.0,3927.0,1436.0,0.0,291.11111111111114,501.63668238189194,1436.0,0.0,490.87499999999994,612.6223347218089,5358.215575899733,13.913191506078428,76366.375,227867.2275704648,917885.0,0.0,1221862.0,152732.75,313139.3117141087,917885.0,0.0,203892.0,29127.428571428572,48459.81183708532,105927.0,0.0,0,0,0,0,192,172,7.3658072679238735,6.547384238154554,0.0,1436.0,363.72222222222223,539.5720314510223,291137.977124183,1,2,0,7,16,0,0,0,0.0,385.11764705882354,291.1111111111111,490.875,0,0,0,0,9,32226,0,154,0,231,65535,79,4,20,0,0,0,0,1.7525465300694468E15,81111.55177662341,1.752546530186754E15,1.752546529887115E15,No Label
192.168.1.2-172.217.192.100-59241-443-6,192.168.1.2,59241,172.217.192.100,443,6,14/07/2025 21:28:50,198350,8,9,1858.0,8816.0,1412.0,0.0,232.25,493.6863521363684,1412.0,0.0,979.5555555555555,600.5304136992379,53813.96521300731,85.70708343836652,12396.875000000002,21594.705705720247,54289.0,0.0,198350.0,28335.714285714283,39451.21705648756,102031.0,0.0,100111.0,12513.875,22295.54863604264,54754.0,0.0,0,0,0,0,172,192,40.332745147466596,45.37433829089993,0.0,1412.0,593.0,656.5855528682414,431104.58823529416,1,2,0,6,16,0,0,0,1.0,627.8823529411765,232.25,979.5555555555555,0,0,0,0,10,107371,0,109,0,518,65535,1047,3,20,0,0,0,0,1.752546530993394E15,34796.41030591215,1.752546531060837E15,1.75254653091079E15,No Label
192.168.1.2-142.251.0.95-59237-443-6,192.168.1.2,59237,142.251.0.95,443,6,14/07/2025 21:28:49,1331564,8,9,1883.0,6766.0,1412.0,0.0,235.37500000000006,494.77525561756687,1412.0,0.0,751.7777777777778,698.4242582015922,6495.369355134263,12.766941731677937,83222.75,278789.09075105505,1125311.0,0.0,1331564.0,190223.42857142858,413947.651589287,1125311.0,0.0,116238.0,14529.749999999998,26794.065130440467,59308.0,0.0,0,0,0,0,172,192,6.0079725796131465,6.7589691520647905,0.0,1412.0,480.5,641.2251371169008,411169.67647058825,1,2,0,6,16,0,0,0,1.0,508.7647058823529,235.375,751.7777777777778,0,0,0,0,9,75156,0,110,0,398,65535,1047,3,20,0,0,0,0,1.7525465298708145E15,42654.21653993977,1.752546529939597E15,1.752546529777621E15,No Label
192.168.1.2-172.217.192.102-59240-443-6,192.168.1.2,59240,172.217.192.102,443,6,14/07/2025 21:28:49,1197089,8,8,1808.0,6954.0,1412.0,0.0,226.00000000000006,491.9779321415603,1412.0,0.0,869.25,654.0292151622236,7319.422365421451,13.365756430808402,79805.93333333333,251814.112633695,985808.0,0.0,1197089.0,171012.7142857143,361697.057397354,985808.0,0.0,120725.0,17246.428571428572,30175.09670714767,71721.0,0.0,0,0,0,0,172,172,6.682878215404201,6.682878215404201,0.0,1412.0,515.4117647058823,643.5210815139945,414119.3823529412,1,2,0,6,15,0,0,0,1.0,547.625,226.0,869.25,0,0,0,0,9,73032,0,113,0,434,65535,1047,3,20,0,0,0,0,1.7525465299973612E15,42793.89180943594,1.75254653007783E15,1.752546529912222E15,No Label
3.233.158.19-192.168.1.2-443-59239-6,3.233.158.19,443,192.168.1.2,59239,6,14/07/2025 21:28:51,0,2,0,23.0,0.0,23.0,0.0,11.5,16.263455967290593,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,23.0,15.333333333333332,13.279056191361393,176.33333333333334,1,0,0,1,2,0,0,0,0.0,23.0,11.5,0.0,0,0,0,0,0,0,1,11,0,0,79,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-64.233.186.157-59242-443-6,192.168.1.2,59242,64.233.186.157,443,6,14/07/2025 21:28:51,4614167,8,8,1875.0,6592.0,1412.0,0.0,234.37499999999997,494.4098755081658,1412.0,0.0,824.0,696.9386117667958,1835.0007704532584,3.467581472452124,307611.13333333336,1131660.1522248418,4397338.0,0.0,4614167.0,659166.7142857142,1648831.0533395787,4397338.0,0.0,126015.0,18002.142857142855,31150.992217630195,72024.0,0.0,0,0,0,0,172,172,1.733790736226062,1.733790736226062,0.0,1412.0,498.05882352941177,650.2571097831452,422834.3088235294,1,2,0,5,15,0,0,0,1.0,529.1875,234.375,824.0,0,0,0,0,8,67602,0,117,0,412,65535,1047,3,20,0,0,0,0,1.7525465316104902E15,49979.86615571395,1.752546531680757E15,1.752546531511188E15,No Label
192.168.1.2-108.177.123.106-59243-443-6,192.168.1.2,59243,108.177.123.106,443,6,14/07/2025 21:28:51,4412561,7,8,1894.0,5379.0,1412.0,0.0,270.5714285714286,524.9161384268466,1412.0,0.0,672.375,724.1720272145286,1648.2491686800477,3.3993864334113453,315182.9285714285,1138721.3275307098,4271014.0,0.0,4412561.0,735426.8333333333,1755244.2526251911,4318034.0,0.0,94536.0,13505.142857142859,22495.163349992752,50330.0,0.0,0,0,0,0,152,172,1.5863803355919612,1.8130060978193843,0.0,1412.0,454.5625,640.1735148900387,409822.12916666665,1,2,0,4,14,0,0,0,1.0,484.8666666666667,270.57142857142856,672.375,0,0,0,0,7,156516,0,126,0,358,65535,1047,3,20,0,0,0,0,1.752546531789686E15,35064.41924147736,1.752546531851215E15,1.752546531713111E15,No Label
108.177.123.106-192.168.1.2-443-59243-6,108.177.123.106,443,192.168.1.2,59243,6,14/07/2025 21:28:56,0,2,0,1016.0,0.0,1016.0,0.0,508.0,718.4204896855323,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,40,0,0.0,0.0,0.0,1016.0,677.3333333333333,586.5878734966598,344085.3333333334,1,0,0,1,2,0,0,0,0.0,1016.0,508.0,0.0,0,0,0,0,0,0,1,508,0,0,1047,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-140.82.113.22-59272-443-6,192.168.1.2,59272,140.82.113.22,443,6,14/07/2025 21:29:00,505633,50,48,64270.0,6349.0,1436.0,0.0,1285.3999999999996,421.62503894976135,1436.0,0.0,132.27083333333343,389.16636160329443,139664.53930024346,193.8164637197335,5212.711340206185,19980.15475569799,107119.0,0.0,401540.0,8194.693877551017,25644.324911667496,107390.0,0.0,415239.0,8834.872340425532,25430.561008376124,109435.0,0.0,0,0,0,0,1012,972,98.88595087741504,94.93051284231844,0.0,1436.0,713.3232323232327,706.4358634360442,499051.6291486293,1,2,0,9,97,0,0,0,0.0,720.6020408163265,1285.4,132.27083333333334,0,0,0,0,55,170309,0,655,0,64,65535,164,46,20,0,0,0,0,1.7525465409368045E15,113289.45147037925,1.752546541102111E15,1.752546540596567E15,No Label
