Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2-51.104.15.252-56712-443-6,192.168.1.2,56712,51.104.15.252,443,6,14/07/2025 18:55:33,996731,9,9,3927.0,5158.0,1440.0,0.0,436.33333333333337,602.1447085211329,1452.0,0.0,573.1111111111111,673.021627521071,9114.796269003371,18.059034985367166,58631.235294117636,90333.98694880116,226530.0,0.0,874032.0,109254.0,117108.86590445905,244026.0,0.0,796436.0,99554.49999999999,107427.76366736593,227292.0,0.0,0,0,0,0,192,192,9.029517492683583,9.029517492683583,0.0,1452.0,478.15789473684225,616.8834991001042,380545.2514619883,1,2,0,7,17,0,0,0,1.0,504.72222222222223,436.3333333333333,573.1111111111111,0,0,0,0,12,11411,0,218,0,286,65535,16386,5,20,0,0,0,0,1.7525373338023628E15,241629.02525664106,1.752537334145542E15,1.752537333273053E15,No Label
192.168.1.2-51.104.15.252-56712-443-6,192.168.1.2,56712,51.104.15.252,443,6,14/07/2025 18:55:34,562,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,42704.62633451957,5338.078291814946,281.0,308.2985565973347,499.0,63.0,562.0,281.0,308.2985565973347,499.0,63.0,0,0,0,0,0,0,0,0,0,60,0,5338.078291814946,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-140.82.112.22-56713-443-6,192.168.1.2,56713,140.82.112.22,443,6,14/07/2025 18:55:41,701924,10,13,6723.0,6448.0,1436.0,0.0,672.3,683.8814143467337,1436.0,0.0,496.00000000000006,636.8132902716986,18764.139707432714,32.767080196716456,31905.636363636364,86784.18737060201,384300.0,0.0,317624.0,35291.555555555555,52124.946681294336,108858.0,0.0,600507.0,50042.25,113249.60750975535,384424.0,0.0,0,0,0,0,212,272,14.246556607268024,18.52052358944843,0.0,1436.0,548.7916666666667,644.8985076311834,415894.0851449275,1,2,0,9,22,0,0,0,1.0,572.6521739130435,672.3,496.0,0,0,0,0,15,21954,0,292,0,280,65535,80,6,20,0,0,0,0,1.7525373415496345E15,135250.20833663124,1.752537342010109E15,1.752537341308414E15,No Label
192.168.1.2-140.82.112.22-56713-443-6,192.168.1.2,56713,140.82.112.22,443,6,14/07/2025 18:55:42,689,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,34833.09143686502,4354.136429608127,344.5,197.28279195104676,484.0,205.0,689.0,344.5,197.28279195104676,484.0,205.0,0,0,0,0,0,0,0,0,0,60,0,4354.136429608127,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-140.82.112.22-56714-443-6,192.168.1.2,56714,140.82.112.22,443,6,14/07/2025 18:55:42,665358,13,14,10217.0,6447.0,1436.0,0.0,785.9230769230769,694.3309083257134,1436.0,0.0,460.5000000000001,626.01078265474,25045.16365625723,40.579657868395664,25590.69230769231,70330.50057024717,317867.0,0.0,347491.0,28957.58333333333,51935.84022348822,120029.0,0.0,545468.0,41959.07692307692,92992.58615024241,318016.0,0.0,0,0,0,0,272,292,19.5383537884868,21.041304079908862,0.0,1436.0,595.1428571428572,665.5787631430934,442995.08994708996,1,2,0,9,26,0,0,0,1.0,617.1851851851852,785.9230769230769,460.5,0,0,0,0,17,30575,0,378,0,238,65535,84,8,20,0,0,0,0,1.7525373424230305E15,119753.48627565129,1.752537342829961E15,1.752537342164891E15,No Label
192.168.1.2-140.82.112.22-56714-443-6,192.168.1.2,56714,140.82.112.22,443,6,14/07/2025 18:55:42,783,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,30651.340996168583,3831.417624521073,391.5,272.2361107568208,584.0,199.0,783.0,391.5,272.2361107568208,584.0,199.0,0,0,0,0,0,0,0,0,0,60,0,3831.417624521073,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,252,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-52.168.117.174-56715-443-6,192.168.1.2,56715,52.168.117.174,443,6,14/07/2025 18:55:43,565560,11,10,9093.0,5157.0,1440.0,0.0,826.6363636363636,647.4082595591861,1452.0,0.0,515.7,659.9139758753072,25196.26564820709,37.1313388499894,28277.999999999993,57418.69558546974,156466.0,0.0,428052.0,42805.200000000004,68830.31609174033,156556.0,0.0,409094.0,45454.88888888888,67182.72069409746,136218.0,0.0,0,0,0,0,232,212,19.449748921423016,17.68158992856638,0.0,1452.0,647.7272727272727,656.7128952897353,431271.8268398268,1,2,0,7,20,0,0,0,0.0,678.5714285714286,826.6363636363636,515.7,0,0,0,0,15,34858,0,433,0,245,65535,16382,8,20,0,0,0,0,1.7525373441540848E15,143420.30010037005,1.75253734434233E15,1.752537343780853E15,No Label
192.168.1.2-52.168.117.174-56715-443-6,192.168.1.2,56715,52.168.117.174,443,6,14/07/2025 18:55:44,544,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,44117.64705882353,5514.705882352941,272.0,248.90158697766472,448.0,96.0,544.0,272.0,248.90158697766472,448.0,96.0,0,0,0,0,0,0,0,0,0,60,0,5514.705882352941,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.1.2-52.168.117.174-56716-443-6,192.168.1.2,56716,52.168.117.174,443,6,14/07/2025 18:55:43,1072869,8,9,3019.0,5158.0,1440.0,0.0,377.375,504.71885738498025,1452.0,0.0,573.1111111111111,673.021627521071,7621.620160522859,15.845364159091183,67054.3125,116411.3896075573,435596.0,0.0,637273.0,91039.0,86419.27229694389,193887.0,0.0,916366.0,114545.75,161321.81325426162,476691.0,0.0,0,0,0,0,172,192,7.4566419572193805,8.388722201871802,0.0,1452.0,454.27777777777777,583.4797043252465,340448.5653594771,1,2,0,7,16,0,0,0,1.0,481.0,377.375,573.1111111111111,0,0,0,0,11,8927,0,177,0,303,65535,16386,4,20,0,0,0,0,1.7525373441533102E15,172070.99047795852,1.752537344401028E15,1.752537343780889E15,No Label
192.168.1.2-52.168.117.174-56716-443-6,192.168.1.2,56716,52.168.117.174,443,6,14/07/2025 18:55:44,527,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,45540.796963946865,5692.599620493358,263.5,265.1650429449553,451.0,76.0,527.0,263.5,265.1650429449553,451.0,76.0,0,0,0,0,0,0,0,0,0,60,0,5692.599620493358,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,253,0,1,20,0,0,0,0,0,0,0,0,No Label
