Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Fwd Header Length.1
443,956419,13,11,2253.0,5194.0,1412.0,0.0,173.30769230769232,391.0949127375997,1412.0,0.0,472.1818181818181,632.7605895094633,7786.336323305998,25.09360437214233,41583.43478260869,104744.4483518322,484169.0,0.0,956419.0,79701.58333333333,149971.1147590873,527749.0,0.0,361939.0,36193.9,49664.90885804361,107696.0,0.0,0,0,0,0,284,232,13.592369034910432,11.501235337231904,0.0,1412.0,297.88,518.972728891734,269332.6933333333,1,2,0,10,23,0,0,0,0.0,310.2916666666667,173.30769230769232,472.1818181818182,0,0,0,0,13,23506,0,93,0,216,64240,71,6,20,0,0,0,0,1753286903824294.8,122117.30671257737,1753286904035913.0,1753286903563907.0,No Label,0
63317,266,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,90225.56390977444,11278.195488721803,133.0,1.4142135623730951,134.0,132.0,266.0,266.0,0.0,266.0,266.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,20,7518.796992481202,3759.398496240601,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,3,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,8,0,0,71,0,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
443,769066,11,11,4317.0,6453.0,1412.0,0.0,392.45454545454544,609.7660803351337,1412.0,0.0,586.6363636363637,669.2013557558402,14003.99965672647,28.60612743249604,36622.19047619048,65951.69201818785,173709.0,0.0,769066.0,76906.59999999999,80199.40627682698,174739.0,0.0,621546.0,62154.600000000006,79774.7830864421,175211.0,0.0,0,0,0,0,244,244,14.30306371624802,14.30306371624802,0.0,1412.0,468.2608695652174,626.4282747443712,392412.3833992094,1,2,0,10,21,0,0,0,1.0,489.54545454545456,392.45454545454544,586.6363636363636,0,0,0,0,12,17359,0,196,0,293,64240,501,5,20,0,0,0,0,1753286914591155.8,183754.3526474901,1753286914998420.0,1753286914232033.0,No Label,0
62651,899,1,2,118.0,77.0,118.0,118.0,118.0,0.0,46.0,31.0,38.5,10.606601717798211,216907.67519466075,3337.0411568409345,449.5,246.7802666341051,624.0,275.0,0.0,0.0,0.0,0.0,0.0,624.0,624.0,0.0,624.0,624.0,1,0,0,0,20,40,1112.3470522803116,2224.694104560623,31.0,118.0,78.25,46.30604712129939,2144.25,1,0,0,3,3,0,0,0,2.0,104.33333333333331,118.0,38.5,0,0,0,0,0,0,0,39,0,25,70,510,0,20,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
0,217,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9216.589861751152,217.0,0.0,217.0,217.0,217.0,217.0,0.0,217.0,217.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9216.589861751152,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
0,242,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12396.694214876034,121.0,74.95331880577403,174.0,68.0,242.0,121.0,74.95331880577403,174.0,68.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12396.694214876034,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1753286902941873.0,0.0,1753286902941873.0,1753286902941873.0,No Label,0
0,134,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14925.373134328358,134.0,0.0,134.0,134.0,134.0,134.0,0.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14925.373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,No Label,0
0,1806076,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7684327791300034,451519.0,902824.0019409468,1805755.0,56.0,1806076.0,451519.0,902824.0019409468,1805755.0,56.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.7684327791300034,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1753286902036634.8,1042548.5237941364,1753286903240466.0,1753286901434596.0,No Label,0
0,49927,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.2631842490036,6240.875000000001,17462.39451292405,49458.0,41.0,49927.0,6240.875000000001,17462.39451292405,49458.0,41.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,180.2631842490036,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1753286910787556.0,18711.26418543488,1753286910829988.0,1753286910780329.0,No Label,0
0,298,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13422.818791946307,99.33333333333331,56.07435539828642,157.0,45.0,298.0,99.33333333333331,56.07435539828642,157.0,45.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,13422.818791946307,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1753286907372307.0,74.95331880577403,1753286907372360.0,1753286907372254.0,No Label,0
